# 用电量监控工具示例数据
# 格式：年-月 用电量：X.XX度 电费：¥X.XX

2022-01 用电量：145.67度 电费：¥267.89
2022-02 用电量：123.45度 电费：¥234.56
2022-03 用电量：167.89度 电费：¥298.45
2022-04 用电量：134.23度 电费：¥245.67
2022-05 用电量：189.45度 电费：¥334.56
2022-06 用电量：234.67度 电费：¥412.89
2022-07 用电量：267.89度 电费：¥467.23
2022-08 用电量：289.45度 电费：¥498.76
2022-09 用电量：245.67度 电费：¥423.45
2022-10 用电量：198.34度 电费：¥356.78
2022-11 用电量：156.78度 电费：¥289.45
2022-12 用电量：178.90度 电费：¥312.34

2023-01 用电量：134.56度 电费：¥245.67
2023-02 用电量：145.78度 电费：¥267.89
2023-03 用电量：156.89度 电费：¥278.90
2023-04 用电量：167.45度 电费：¥289.34
2023-05 用电量：198.67度 电费：¥345.78
2023-06 用电量：223.45度 电费：¥389.56
2023-07 用电量：256.78度 电费：¥445.67
2023-08 用电量：278.90度 电费：¥478.23
2023-09 用电量：234.56度 电费：¥401.45
2023-10 用电量：189.34度 电费：¥334.67
2023-11 用电量：167.89度 电费：¥298.45
2023-12 用电量：178.45度 电费：¥312.78

2024-01 用电量：145.23度 电费：¥267.34
2024-02 用电量：156.67度 电费：¥278.45
2024-03 用电量：167.89度 电费：¥289.56
2024-04 用电量：178.90度 电费：¥301.23
2024-05 用电量：201.45度 电费：¥348.67
2024-06 用电量：234.67度 电费：¥401.89
